,Data,Horario,Estacao,Latitude,Longitude,Banda 1,Banda 2,Banda 3,Banda 4,Banda 5,Banda 6,Banda 7,Banda 8,Banda 9,Banda 10,Banda 11,Banda 12,Banda 13,Banda 14,Banda 15,Banda 16
0,1/10/2018,1800,82022,2.83,-60.7,11.8,8.34,23.93,0.06,21.52,10.22,310.04,250.56,260.27,267.64,298.68,276.12,302.37,300.75,296.01,278.65
1,1/10/2018,1800,82024,2.82,-60.65,11.42,7.55,27.65,0,19.17,11.96,309.59,250.51,260.14,267.69,297.22,274.85,301.08,299.5,295.24,278.37
2,1/10/2018,1800,82096,0.52,-50.42,54.38,51.68,58.15,0.12,52.98,37.07,305.03,237.08,247.27,257.91,276.51,255.75,278.95,279.33,278.26,267.19
3,1/10/2018,1800,82099,0.05,-51.07,56.66,56.76,58.28,0.12,49.49,38.06,305.35,237.37,247.52,258.86,276.98,256.03,279.32,279.99,279.33,268.24
4,1/10/2018,1800,82098,0.03,-51.05,54.5,50.19,57.3,0.12,49.36,38.44,305.1,237.25,247.52,258.96,276.93,256.03,279.14,279.93,279.27,268.24
5,1/10/2018,1800,82106,-0.13,-67.08,13.2,12.5,26.15,0.12,33.2,19.96,315.68,253.22,261.58,266.94,300.45,279.53,304.33,302.01,296.37,278.37
6,1/10/2018,1800,82143,-0.62,-47.38,14.82,12.31,32.12,0.44,24.76,19.58,300.88,236.02,244.01,251.88,284.28,258.35,287.56,286.63,282.37,266.42
7,1/10/2018,1800,82145,-1.08,-46.93,25.49,21.93,31.36,4.88,20.15,25.14,291.19,235.22,241.89,246.89,260.13,243.41,261.87,260.48,258.19,250.72
8,1/10/2018,1800,82193,-1.38,-48.48,13.42,7.58,29.65,0.06,25.87,19.46,303.72,238.09,246.08,254.72,291.69,264.16,295.48,295.13,291.66,272.43
9,1/10/2018,1800,82191,-1.43,-48.43,13.3,11.49,28.63,0.12,26.25,17.49,302.98,237.75,245.83,254.42,291.95,264.07,295.67,295.07,291.72,272.43
10,1/10/2018,1800,82188,-1.68,-50.48,42.6,41.87,48.6,0.73,43.77,35.61,306.23,239.28,249.05,258.11,272.7,253.43,275.57,275.2,273.79,264.11
11,1/10/2018,1800,82198,-1.72,-45.4,12.57,9.61,28.15,0.12,22.25,14.53,297.18,251.06,258.49,262.3,290.33,259.49,292.72,292.97,291.01,271.6
12,1/10/2018,1800,82184,-1.73,-52.23,64.41,61.61,66.47,0.12,45.52,32.03,299.85,240.16,251.76,263.15,280.32,259.15,282.33,282.68,281.83,270.33
13,1/10/2018,1800,82178,-1.92,-55.52,64.28,63.01,66.34,0.12,51.49,34.63,303.62,246.58,257.98,267.69,287.57,265.68,289.46,290.04,289.04,275.79
14,1/10/2018,1800,82181,-2,-54.08,74.79,72.69,75.99,0.19,50.63,31.77,300.92,243.67,255.19,265.35,282.56,261.47,284.3,284.71,283.8,272.32
15,1/10/2018,1800,82244,-2.43,-54.72,73.77,71.36,75.77,0.19,54.85,37.33,306.32,245.61,257.22,266.94,283.97,262.98,286.08,286.39,285.23,273.31
16,1/10/2018,1800,82212,-2.53,-66.17,40.19,38.06,51.58,0.38,35.71,12.09,309.37,253.13,262.26,268.19,295.76,275.46,298.8,296.8,292.97,277.44
17,1/10/2018,1800,82280,-2.53,-44.3,13.3,9.65,21.46,0.19,24.25,16.76,299.93,242.95,252.86,260.06,290.02,257.12,292.72,293.21,291.36,271.43
18,1/10/2018,1800,82281,-2.6,-44.23,12.31,6.5,27.52,0.12,18.79,18.12,301.49,241.81,251.84,259.51,292.05,257.88,294.68,295.07,292.91,272.32
